payment_code|operation_code|party_type|name|company_reg_no|business_reg_no|passport|account|account_status|relationship_start_date|relationship_type|agreement_date|statement_date|capacity|facility|credit_limit|instalment_amount|amount_in_arrears|month_in_arrears|tenure|total_balance_outstanding|late_payment_interest|principal_repayment_term|collateral_type|legal_status|date_status_update|deletion_reason_code|total_amount_paid|debt_type|email|mobile_no|date_of_notice|sponsor_constitution|sponsor_old_ic_company_reg_no|sponsor_new_ic_business_reg_no|sponsor_passport_no|sponsor_name|sponsor_status|sponsor_remarks|old_account_no
A|A|C|SMITH-RICHARDS SDN BHD|2021584846-M|2021584846-M||BOOST000001|1|20230331|1|20230425|20230715|1|3|19514.21|41816.16|0.0|0|14|18513.36|19|1|0|0|20230715|0|0.0|002|torresmichael@example.org|013-1174262|||||||||
A|A|C|WALLACE-HENRY SDN BHD|2018906852-K|2018906852-K||BOOST000002|1|20230218|1|20230301|20240101|1|3|13705.98|5339.99|0.0|0|77|9206.97|19|1|0|0|20240101|0|0.0|004|ayates@example.net|||C|2017577949-W|2017577949-W||JENKINS LLC SDN BHD|1|CO-BORROWER|
A|A|B|TERRI ANDERSON & BARR, HOOVER AND KRUEGER|2008461913-X|981002119570||BOOST000003|4|20220713|1|20220722|20250617|1|2|8775.67|3606.44|21638.64|6|73|3318.17|12|1|0|1|20250617|0|0.0|004|gerald84@example.com|013-4893529|20250427||||||||
A|A|I|CHRISTINA KENNEDY||700224132642||BOOST000004|1|20231218|1|20240106|20240120|1|2|4165.98|1562.24|0.0|0|80|460.46|14|1|0|0|20240120|0|0.0|002|wwest@example.org||||||||||
A|A|C|COOK-SWEENEY SDN BHD|2020491931-H|2020491931-H||BOOST000005|1|20250316|1|20250322|20250626|1|3|8031.76|4302.73|0.0|0|56|41.38|16|1|0|0|20250626|0|0.0|002|brittanymiddleton@example.com|019-1094926|||||||||
A|A|I|SHANNON TRAN||950720139259||BOOST000006|1|20240911|1|20241009|20241230|2|3|6740.81|2351.45|0.0|0|86|2726.76|19|1|0|0|20241230|0|0.0|003|ann87@example.com|014-6646442|||||||||
A|A|C|LLOYD, MIRANDA AND WILLIAMS SDN BHD|2018167300-K|2018167300-K||BOOST000007|1|20240428|1|20240509|20250118|2|3|12297.87|6472.56|0.0|0|57|8220.5|20|1|0|0|20250118|0|0.0|001|juan59@example.com|018-7841526|||||||||
A|A|I|KEVIN MCCLURE||660604068274||BOOST000008|1|20230827|1|20230914|20240929|1|3|3112.87|1061.21|0.0|0|88|2100.69|16|1|0|0|20240929|0|0.0|003||012-4946790||C|2016180126-X|2016180126-X||JOHNSON AND SONS SDN BHD|1||
A|A|I|GREGORY FORD||750906025971||BOOST000009|1|20250511|1|20250523|20250605|1|2|12968.52|8277.78|0.0|0|47|7476.79|13|1|0|0|20250605|0|0.0|004|jenniferking@example.com|014-5088861||I||570428034305||RANDY JOHNSON|1|CO-BORROWER|
A|A|I|CATHY HENDERSON||581103071271||BOOST000010|1|20250221|1|20250301|20250318|1|3|4540.13|1792.16|0.0|0|76|13.67|16|1|0|0|20250318|0|0.0|002|||||||||||
A|A|I|MATTHEW LEWIS||720915098542|W#######|BOOST000011|1|20250703|1|20250721|20250721|1|2|5827.64|2775.07|13875.35|5|63|4931.65|14|1|0|0|20250721|0|0.0|003|george03@example.org|012-7605392|||||||||
A|A|I|JACKSON GOODMAN||991005073394||BOOST000012|4|20230809|1|20230812|20250509|1|3|15854.73|22649.61|158547.27|7|21|12395.12|22|1|0|0|20250509|0|0.0|001|michael17@example.org|013-4538007|||||||||
A|A|I|DANIELLE BRUCE||800124146116||BOOST000013|1|20240327|1|20240330|20250406|1|2|16209.86|28605.64|114422.56|4|17|14317.47|13|1|0|1|20250406|0|0.0|004||013-2303308|20250301||||||||
A|A|I|ANTHONY FISHER||820506107065||BOOST000014|1|20240715|1|20240809|20240809|1|3|19954.09|6802.53|0.0|0|88|14600.11|12|1|0|0|20240809|0|0.0|001||013-4176059|||||||||
A|A|I|TOMMY KENNEDY||651028079437||BOOST000015|1|20220806|1|20220806|20221117|1|2|3354.51|1572.43|0.0|0|64|2002.22|12|1|0|0|20221117|0|0.0|002|michaeljackson@example.com|018-8044145|||||||||
A|A|I|RYAN HERNANDEZ||790928101477||BOOST000016|1|20221222|1|20221228|20250703|1|3|2532.56|3303.34|6606.68|2|23|1207.73|22|1|0|0|20250703|0|0.0|003|andrewgraham@example.net|013-5559833|||||||||
A|A|I|BRENT MEYER||580815083541||BOOST000017|1|20220806|1|20220905|20241002|2|2|8543.77|3610.04|21660.24|6|71|1576.35|18|1|0|0|20241002|0|0.0|002|kimberly16@example.com|||C|2019761432-H|2019761432-H||GILMORE, MALONE AND HERRERA SDN BHD|1||
A|A|C|WILLIAMSON LTD SDN BHD|2002677961-K|2002677961-K||BOOST000018|2|20240616|1|20240619|20250327|2|3|13857.55|5399.05|0.0|0|77|0.0|24|1|0|0|20250327|0|0.0|004|gtownsend@example.net|014-2311868|||||||||
A|A|B|CAMERON ANDREWS & JACOBS-CRANE|2006585788-X|520814013358||BOOST000019|1|20230411|1|20230507|20240213|1|2|14601.54|4867.18|4867.18|1|90|5885.5|18|1|0|0|20240213|0|0.0|003|john05@example.com|018-1715147|||||||||
A|A|I|CAROLINE YOUNG||680728099079||BOOST000020|1|20230505|1|20230522|20230908|1|2|4248.47|2023.08|0.0|0|63|3493.02|14|1|0|0|20230908|0|0.0|004||018-1470524|||||||||
A|A|I|AMANDA MCCLAIN||650521129590||BOOST000021|3|20230522|1|20230604|20240531|1|3|6707.25|11178.75|78251.25|7|18|1702.91|23|1|0|1|20240531|0|0.0|001||012-5668733|20240320||||||||
A|A|I|MARK MONTGOMERY||510912057510||BOOST000022|1|20221110|1|20221128|20221226|1|2|16501.4|7500.64|0.0|0|66|8123.74|15|1|0|0|20221226|0|0.0|004||019-8825596|||||||||
A|A|C|FRANKLIN, MILLER AND MCINTYRE SDN BHD|2010780361-H|2010780361-H||BOOST000023|1|20221010|1|20221023|20250413|1|3|13552.97|11616.83|69700.98|6|35|6790.23|15|1|0|0|20250413|0|0.0|002||012-3733192|||||||||
A|A|B|REBECCA SCHMIDT & ORTIZ-HALL|2004934188-M|930426107819||BOOST000024|1|20230729|1|20230802|20250629|2|2|16340.2|11956.24|0.0|0|41|3902.37|16|1|0|0|20250629|0|0.0|001||014-3758309||I||940624146990||BRANDON AGUILAR|1||
A|A|C|GRAHAM, PITTMAN AND JIMENEZ SDN BHD|2012190062-W|2012190062-W||BOOST000025|1|20220906|1|20220913|20240808|1|2|5796.91|6441.01|0.0|0|27|5209.18|22|1|0|0|20240808|0|0.0|002|jasonsalazar@example.com|016-8980264|||||||||
A|A|I|TODD STONE||880512115485||BOOST000026|1|20231218|1|20240110|20250520|1|2|4261.54|18263.74|91318.7|5|7|2031.35|18|1|0|0|20250520|0|0.0|004|zhernandez@example.org||||||||||
A|A|I|JULIA LOPEZ||680320059047||BOOST000027|2|20250326|1|20250408|20250410|1|3|16908.77|8899.35|0.0|0|57|0.0|23|1|0|0|20250410|0|0.0|001|hreed@example.net|014-4434460|||||||||
A|A|I|TAMMY BAKER||660417133076||BOOST000028|3|20240504|1|20240507|20240529|2|2|14469.11|5946.21|23784.84|4|73|3166.87|20|1|0|1|20240529|0|0.0|002||019-4776598|20240325||||||||
A|A|I|ANDRES YOUNG JR.||821212134893||BOOST000029|1|20240801|1|20240809|20240817|2|3|14157.89|4772.32|0.0|0|89|10801.67|13|1|0|0|20240817|0|0.0|002||016-3272051|||||||||
A|A|B|BRITTANY PONCE & TAYLOR-WILSON|2000998952-M|540621045318||BOOST000030|1|20240118|1|20240206|20240416|1|3|1295.33|1439.26|0.0|0|27|209.94|18|1|0|0|20240416|0|0.0|004||013-8104013|||||||||
A|A|I|JAY SMITH||501106091109||BOOST000031|1|20230613|1|20230703|20250629|1|3|1343.51|592.73|0.0|0|68|661.02|24|1|0|0|20250629|0|0.0|003||016-8536037||I||890214038849||CINDY WRIGHT|1|GUARANTOR|
A|A|I|MARTHA CHAVEZ||661020047789||BOOST000032|1|20240630|1|20240718|20250609|1|3|14743.75|8506.01|0.0|0|52|2480.82|23|1|0|0|20250609|0|0.0|001||013-1219149||C|2023198420-W|2023198420-W||MURPHY LLC SDN BHD|1|GUARANTOR|
A|A|I|DR. JAVIER MCCARTY MD||730512128898||BOOST000033|2|20230422|1|20230422|20240415|1|3|17584.1|17584.1|0.0|0|30|0.0|13|1|0|0|20240415|0|0.0|001|wortiz@example.com|019-3280758|||||||||
A|A|I|STEVEN WILLIS||890422121741||BOOST000034|1|20241108|1|20241121|20250702|1|2|9826.71|3731.66|0.0|0|79|8095.8|17|1|0|0|20250702|0|0.0|003|||||||||||
A|A|I|KYLE BANKS||770506106014||BOOST000035|1|20240818|1|20240830|20250227|1|3|18043.22|9021.61|18043.22|2|60|16216.13|13|1|0|0|20250227|0|0.0|002|tammy84@example.org|019-5188080|||||||||
A|A|I|KATHLEEN CARNEY||590406114896||BOOST000036|1|20250323|1|20250410|20250614|1|2|3717.58|1281.92|0.0|0|87|3223.87|20|1|0|0|20250614|0|0.0|004||014-2956034|||||||||
A|A|I|JAMES BECKER||820802076610||BOOST000037|1|20250219|1|20250319|20250428|2|3|2057.68|1102.33|0.0|0|56|1479.54|22|1|0|0|20250428|0|0.0|002|debramiller@example.net|012-2733133||C|2002579509-K|2002579509-K||GARCIA-LEVINE SDN BHD|1||
A|A|I|CORY MARTINEZ||580821076255||BOOST000038|1|20230529|1|20230605|20230921|2|2|8075.61|3670.73|0.0|0|66|289.89|16|1|0|0|20230921|0|0.0|004|natalietucker@example.org||||||||||
A|A|B|EUGENE BURTON & MUELLER, BEARD AND RIVAS|2004464911-W|760810073436||BOOST000039|2|20221009|1|20221020|20230303|2|3|16983.16|9613.11|0.0|0|53|0.0|21|1|0|0|20230303|0|0.0|001|sharon60@example.com|016-5089739|||||||||
A|A|I|EMMA MORENO||860522099755||BOOST000040|1|20240108|1|20240126|20250705|1|2|19551.49|13034.33|0.0|0|45|4737.87|21|1|0|0|20250705|0|0.0|002||019-9549381|||||||||
A|A|I|LISA COOPER||760318115976||BOOST000041|3|20230925|1|20231001|20240109|2|3|1418.57|1773.21|10639.26|6|24|482.24|12|1|0|0|20240109|0|0.0|003||016-7350394|||||||||
A|A|I|HANNAH DANIEL||711019127172||BOOST000042|1|20221005|1|20221027|20231029|1|3|6919.96|3844.42|0.0|0|54|1391.84|17|1|0|0|20231029|0|0.0|004|jose09@example.org|017-6690851||C|2020905579-X|2020905579-X||GOODWIN-HOLLAND SDN BHD|1|CO-BORROWER|
A|A|I|BRIANNA COLE||740305091651||BOOST000043|1|20230630|1|20230712|20240613|1|3|5024.02|11593.89|0.0|0|13|165.02|19|1|0|0|20240613|0|0.0|004|aaronflynn@example.com|018-7954222|||||||||
A|A|B|ROBERT SCHAEFER & MENDOZA LTD|2004934380-X|710821011192||BOOST000044|2|20230410|1|20230510|20250314|1|3|13870.21|37827.85|0.0|0|11|0.0|21|1|0|0|20250314|0|0.0|002|chanian@example.org|019-6628565|||||||||
A|A|I|MICHEAL MALONE||531121132855||BOOST000045|1|20240510|1|20240528|20250519|1|2|12737.2|5619.35|5619.35|1|68|11494.17|23|1|0|0|20250519|0|0.0|003||016-8499447||I||810126071633||AARON MCCARTHY|1|GUARANTOR|
A|A|I|KATHRYN JONES||690801138845||BOOST000046|1|20231005|1|20231101|20241204|1|2|13670.36|5396.19|0.0|0|76|5506.89|23|1|0|0|20241204|0|0.0|001|gmckay@example.org||||||||||
A|A|C|VASQUEZ GROUP SDN BHD|2012616653-M|2012616653-M||BOOST000047|1|20221203|1|20221230|20240221|1|2|14222.31|7901.28|0.0|0|54|11632.11|18|1|0|0|20240221|0|0.0|002|alan98@example.com|012-4932000||I||660728039606||WILLIAM YANG|1|GUARANTOR|
A|A|I|WENDY MOORE||880113075276||BOOST000048|1|20231121|1|20231221|20240821|1|3|16706.15|5896.29|23585.16|4|85|7262.04|18|1|0|0|20240821|0|0.0|001|brandon70@example.com|018-2924128|||||||||
A|A|B|CASSANDRA LEE & ALLEN-FIGUEROA|2014860076-M|701017109288||BOOST000049|1|20250630|1|20250714|20250714|1|2|11233.58|4955.99|0.0|0|68|4388.17|12|1|0|0|20250714|0|0.0|004||013-3723301|||||||||
