payment_code|operation_code|party_type|name|company_reg_no|business_reg_no|passport|account|account_status|relationship_start_date|relationship_type|agreement_date|statement_date|capacity|facility|credit_limit|instalment_amount|amount_in_arrears|month_in_arrears|tenure|total_balance_outstanding|late_payment_interest|principal_repayment_term|collateral_type|legal_status|date_status_update|deletion_reason_code|total_amount_paid|debt_type|email|mobile_no|date_of_notice|sponsor_constitution|sponsor_old_ic_company_reg_no|sponsor_new_ic_business_reg_no|sponsor_passport_no|sponsor_name|sponsor_status|sponsor_remarks|old_account_no
A|A|I|SARAH HERNANDEZ||940123068341||CHINCHIN000001|1|20230307|1|20230317|20250206|2|4|44805.77|7226.74|43360.44|6|186|11964.55|9|1|3|1|20250206|0|0.0|003|josephlauren@example.net|013-4232107|20241211||||||||
A|A|C|BEAN, PETTY AND CORDOVA SDN BHD|2013752637-W|2013752637-W||CHINCHIN000002|1|20250612|1|20250613|20250613|1|4|98157.14|8816.51|52899.06|6|334|63354.96|9|1|2|1|20250613|0|0.0|001|cluna@example.net|019-1511298|20250419||||||||
A|A|I|CASSIE WRIGHT DDS||920516143528||CHINCHIN000003|1|20240815|1|20240822|20250530|1|4|11792.39|3103.26|0.0|0|114|8727.45|14|1|1|0|20250530|0|0.0|002|ambercarr@example.org|014-9316123|||||||||
A|A|B|REGINA JARVIS & ORTIZ-WILSON|2017390613-K|550422131156||CHINCHIN000004|1|20240929|1|20241004|20250221|1|4|95619.18|18748.86|0.0|0|153|44960.86|14|1|1|0|20250221|0|0.0|002|rivasjoann@example.com|017-7076578|||||||||
A|A|I|JAMES HALEY||740306065216||CHINCHIN000005|1|20250418|1|20250517|20250602|1|1|90255.03|9533.98|0.0|0|284|25278.76|14|1|5|0|20250602|0|0.0|002|yolanda77@example.org||||||||||
A|A|I|BENJAMIN NGUYEN||600304118552||CHINCHIN000006|2|20240712|1|20240713|20250425|2|1|34340.76|4619.83|0.0|0|223|0.0|15|1|3|0|20250425|0|0.0|001|baileyjennifer@example.net|014-6211559|||||||||
A|A|I|GARY BUTLER||520609078933||CHINCHIN000007|1|20240115|1|20240130|20240828|1|1|25147.1|2981.87|8945.61|3|253|23479.33|8|1|3|0|20240828|0|0.0|003|tristanpeterson@example.net|018-6818739|||||||||
A|A|I|SARAH SCOTT||930123044877||CHINCHIN000008|2|20241212|1|20250110|20250502|2|1|71273.32|8255.6|0.0|0|259|0.0|15|1|3|0|20250502|0|0.0|002||012-6005457|||||||||
A|A|I|MARTHA BROOKS||820413029773||CHINCHIN000009|1|20230930|1|20231014|20240730|1|1|66309.76|10046.93|0.0|0|198|30453.46|11|1|1|0|20240730|0|0.0|004||016-3704807||I||610210046085||JASMINE GONZALES|1|CO-BORROWER|
A|A|I|LARRY IBARRA||650418049031||CHINCHIN000010|1|20250412|1|20250413|20250501|1|4|46028.81|5568.0|16704.0|3|248|17052.97|11|1|5|0|20250501|0|0.0|001|charleshaas@example.com|018-5545780|||||||||
A|A|I|ANTHONY CARLSON||670114026882||CHINCHIN000011|2|20241123|1|20241124|20250221|1|4|26792.32|2488.45|0.0|0|323|0.0|11|1|3|0|20250221|0|0.0|003|gail88@example.com|012-8987941|||||||||
A|A|C|STEWART-MORALES SDN BHD|2004306404-M|2004306404-M||CHINCHIN000012|1|20250306|1|20250329|20250516|1|1|72908.02|12716.52|0.0|0|172|14912.75|8|1|3|0|20250516|0|0.0|001||018-5975862|||||||||
A|A|I|RACHAEL BRYANT||790502072634||CHINCHIN000013|1|20221223|1|20221230|20230414|1|4|88055.49|23377.56|0.0|0|113|72844.5|15|1|2|0|20230414|0|0.0|002||017-2822563||C|2001865086-H|2001865086-H||CHERRY LLC SDN BHD|1||
A|A|I|CRYSTAL CHAN||681117033170||CHINCHIN000014|1|20250426|1|20250520|20250531|1|1|34967.23|3800.79|15203.16|4|276|9506.71|8|1|4|0|20250531|0|0.0|004||013-2629098|||||||||
