payment_code|operation_code|party_type|name|company_reg_no|business_reg_no|passport|account|account_status|relationship_start_date|relationship_type|agreement_date|statement_date|capacity|facility|credit_limit|instalment_amount|amount_in_arrears|month_in_arrears|tenure|total_balance_outstanding|late_payment_interest|principal_repayment_term|collateral_type|legal_status|date_status_update|deletion_reason_code|total_amount_paid|debt_type|email|mobile_no|date_of_notice|sponsor_constitution|sponsor_old_ic_company_reg_no|sponsor_new_ic_business_reg_no|sponsor_passport_no|sponsor_name|sponsor_status|sponsor_remarks|old_account_no
A|A|C|BRIGHT, ADAMS AND WILLIAMS SDN BHD|2024454731-M|2024454731-M||JCL000001|1|20230825|1|20230918|20250705|1|1|41673.1|10164.17|0.0|0|123|33694.97|17|1|4|0|20250705|0|0.0|002|landerson@example.net|018-8257136|||||||||
A|A|I|THOMAS WISE||500424146627||JCL000002|2|20220928|1|20221016|20250609|1|2|48030.21|11257.08|0.0|0|128|0.0|16|1|0|0|20250609|0|0.0|002|njackson@example.com|014-3260429|||||||||
A|A|I|LAUREN RYAN||640501062190||JCL000003|4|20240627|1|20240715|20241202|1|1|18711.78|4639.28|55671.36|12|121|11516.77|14|1|2|0|20241202|0|0.0|003|trhodes@example.net|019-1184221|||||||||
A|A|I|MONICA LYNCH||861217075347||JCL000004|1|20221112|1|20221212|20241130|2|2|37793.14|15117.26|0.0|0|75|26783.46|16|1|0|0|20241130|0|0.0|004|christopherscott@example.net|013-5077299|||||||||
A|A|I|BENJAMIN SCHULTZ||840207107462||JCL000005|2|20241214|1|20241217|20250428|1|1|32958.3|17346.47|0.0|0|57|0.0|14|1|3|0|20250428|0|0.0|002|hcastillo@example.com|018-1035742|||||||||
A|A|C|GONZALEZ, SHELTON AND GARRETT SDN BHD|2020784074-W|2020784074-W||JCL000006|1|20241128|1|20241224|20250109|1|2|36820.21|8697.69|8697.69|1|127|15665.49|17|1|0|0|20250109|0|0.0|002|dennisdean@example.net|012-3472483|||||||||
A|A|I|AMY PATEL MD||820922046509||JCL000007|1|20221203|1|20221215|20230209|1|2|20158.5|5081.97|0.0|0|119|17682.87|16|1|0|0|20230209|0|0.0|002|ashleyhughes@example.net||||||||||
A|A|I|ERIC THOMAS||911219149536||JCL000008|1|20230520|1|20230527|20241228|1|2|11173.34|4655.56|23277.8|5|72|649.96|11|1|0|0|20241228|0|0.0|003|kevin42@example.com|016-7129158||C|2013928306-X|2013928306-X||HARRIS AND SONS SDN BHD|1|GUARANTOR|
A|A|C|JOHNSON-ONEAL SDN BHD|2002799889-H|2002799889-H|W#######|JCL000009|4|20240801|1|20240807|20241107|1|2|16657.59|9610.15|105711.65|11|52|15701.79|16|1|0|1|20241107|0|0.0|004|quinnandrew@example.com|012-8169356|20240921||||||||
A|A|I|ROGER SMITH||611211124277||JCL000010|1|20221128|1|20221205|20230108|1|1|23404.61|5617.11|11234.22|2|125|23095.59|17|1|2|0|20230108|0|0.0|004|mjones@example.com||||||||||
A|A|I|RACHAEL ESPARZA||820213072484||JCL000011|1|20230219|1|20230220|20240626|1|1|36582.22|8710.05|0.0|0|126|9537.7|18|1|4|0|20240626|0|0.0|003|jonesmichael@example.com||||||||||
A|A|I|TYLER ROSE||860117112595|H#######|JCL000012|2|20250307|1|20250319|20250424|1|2|5871.27|3594.66|0.0|0|49|0.0|18|1|0|0|20250424|0|0.0|002|jreed@example.net|019-4846579||C|2013549681-K|2013549681-K||GRAHAM, SLOAN AND ROBINSON SDN BHD|1|GUARANTOR|
A|A|C|BELL-MEYERS SDN BHD|2006230109-X|2006230109-X||JCL000013|1|20240304|1|20240312|20250427|1|1|41540.99|10215.0|0.0|0|122|5040.72|12|1|2|0|20250427|0|0.0|004|lopezeric@example.com|||C|2009768517-K|2009768517-K||HUGHES PLC SDN BHD|1||
A|A|I|SEAN OLSON||761014014346||JCL000014|1|20240207|1|20240305|20240322|1|2|8104.15|5402.77|0.0|0|45|4013.04|18|1|0|0|20240322|0|0.0|001|rsmith@example.com||||||||||
A|A|I|MELISSA DAVIS||550625131429||JCL000015|1|20250617|1|20250716|20250716|1|1|8627.23|6995.05|41970.3|6|37|4498.95|18|1|3|0|20250716|0|0.0|004|austinrenee@example.org|018-9653701|||||||||
A|A|I|KAITLIN MASON||720408147466||JCL000016|1|20241110|1|20241114|20241230|1|2|37677.03|7199.43|21598.29|3|157|26054.32|11|1|0|0|20241230|0|0.0|004||012-3864053|||||||||
A|A|C|HURST PLC SDN BHD|2008164959-W|2008164959-W||JCL000017|2|20230819|1|20230821|20241006|1|2|20153.92|4381.29|0.0|0|138|0.0|16|1|0|0|20241006|0|0.0|001|tammycoleman@example.net|013-9227418||I||730512146636||WAYNE SULLIVAN|1|CO-BORROWER|
A|A|I|MELANIE GILBERT||690723082711||JCL000018|1|20221030|1|20221119|20230506|1|2|20715.69|4088.62|0.0|0|152|16544.73|13|1|0|0|20230506|0|0.0|002|sullivanelizabeth@example.com|017-1454669||I||660118137236||MARTIN CARTER|1||
A|A|I|MS. NATASHA PATTERSON||910816087442||JCL000019|2|20230314|1|20230330|20240212|1|1|31997.96|7110.66|0.0|0|135|0.0|17|1|5|0|20240212|0|0.0|002|reneepierce@example.org||||||||||
A|A|I|SHELLY ANDERSON||600401036600||JCL000020|1|20240718|1|20240731|20241022|1|2|15315.21|6563.66|0.0|0|70|5644.19|16|1|0|0|20241022|0|0.0|004|nataliereeves@example.org||||||||||
